rank,name,discriminator
1,ZETA | あcola,830dec1e
2,AREA310 | ドラ右,82f63ee2
3,FENNEL | Miya,d8016ec8
4,E36 | Hurt,9b4e3c26
5,カルメロ,9e3d38c6
6,Yaura,5e9efb3c
7,RC | Shuton,993a6b60
8,ZETA | らる,50b1e9a9
9,SBI | KEN,8881ab7d
10,SZ | Asimo,ffa84c87
11,DFM | たまPだいふく,f2633635
12,にょのknb,3d5acedb
13,ZETA | Tea,ab90c078
14,アドネス | ラリックス　　,3644910e
15,ス | スノー,d7014dc2
16,からあげ,f8fdc7f2
17,さや,c722a60c
18,はるぽよ,43356c8d
19,シオン,f562c15b
20,R2G | ふぁいやー,a3dd27a7
21,MarK,75e90a8a
22,雨飴/uame,dbae7287
23,DFM | zackray,181880b7
24,SOL | らき,0bf3d8f1
25,アカキクス,f3d4fad1
26,BUZZ | たいけい/Taikei,755e1bd3
27,Yoshidora,9568f351
28,IJC | Neo,6839ebd5
29,りゅーおー/Ryuoh,14757eac
30,MRG | Umeki,e4d2585c
31,SOL | Leaf,c5ca7385
32,AREA310 | Shirayuki,deb476b0
33,Ataru,d8586cb2
34,アドネス | マイルドなH.O/Mild na H.O,ad9e1744
35,MASA,c8cc35c8
36,Yone_pi,ada48b04
37,tameigo#OKPG,383a3d84
38,アキオ,93dd036e
39,黒船,56b6719b
40,くろぽんず,a2dea572
41,Kaninabe,88c26d6b
42,ゴリオカ,8f5104a3
43,33ぺらんbox,e5071e70
44,Dieごろう,2ec9472b
45,Lv.1,98c978f4
46,ツバキ,ae9132a9
47,M0tsunabE,2c058878
48,Kome,0910174c
49,KUSC | ふららら麺,f4fb616e
50,Reno,e4787f10
51,ましゃ,9e36af3c
52,AREA310 | TG(トリグリ),2960afb9
53,まっT,122304a4
54,Gachipi,07a754d8
55,リム,5605d634
56,MiiBrawlerGod,77dd2ab3
57,メイド,aed8b544
58,Tsuna,52707224
59,水無灯里,fd123441
60,sol | ラックス,344aca94
61,あのあのゲーミング | ロキてんどんまん,b914edfe
62,じゃがバター,2138ed91
63,Yuzha,49589325
64,Riteshia,284b08b4
65,しん/Sin,482ca15a
66,みどるん,c4c86a61
67,G3 | Chon,d26df758
68,すまほ,6d0f9f0f
69,LemozonA,d09fb0ec
70,MiiBrawlerMaster,5999e115
71,りょぺい,53bcfa6a
72,Rearlet,e6f3bb0c
73,エイク,27202e07
74,ZETA | Gackt,e8f0cdcd
75,ロン/Ron,0e0f7d26
76,Nao,5f19eb43
77,こう,c1cb8311
78,Noi,9b3c0744
79,R2G | JY,384b2ea7
80,YM,7c979470
81,ネイビー,2a7147ed
82,ロッキー,873835ea
83,おがとう,c7d91360
84,なこ,8cc22f15
85,けばんが,b8d6d272
86,アヴァる,e9af5a66
87,Te-sHi,e1a1e202
88,なおちゃ,d7d9f3cc
89,みこ,5b292665
90,OKPG | コリンク1219,001902b4
91,シャドウ,e0a3758b
92,shirome,
93,空白,667ade37
94,XEN | shion,a7816fdf
95,akasa,f746f0c7
96,にやえ,23d64447
97,sssr,c014512f
98,OKPG | みる,8e42f6db
99,ふたりのきわみアー!,0767b98d
100,DIO,9ecf6867
101,るーつちゃん,c83ef1b9
102,CLX | ヤマナクション,902ef190
103,BUZZ | へろー/Hero,dba21096
104,Huto,95a90b8f
105,R2G | Kameme,7472527c
106,yuzu,e5f1f16c
107,ふい,61a4f787
108,お味噌汁,4c051131
109,しんだ らいおん,9c70f419
110,Chee,f7bf51f6
111,SOL | Marcos/まるこす,40b22fad
112,Jogibu,a064a355
113,chicken,da8746e9
114,KRB | AyaLin,f24cc9ee
115,ヤドン,0ce9c861
116,るみー,0f7a1957
117,VARREL | kept,058e05d7
118,saboten,f26cd241
119,サウザンド,298e4c12
120,おんじょうじ,22fcdd4f
121,まつけい,cdbd1a4d
122,たす,dcc0fb68
123,エルレゴー/ElleGo,e4748f5f
124,つかさ,e26390b1
125,でんこた/DenKOTA,b546915c
126,SOL | とら,690c51c5
127,R2G | ミサミサ,953f9c5a
128,オムアツ,3e9d9aa9
